Department,Year,Abstract_Title,Abstract_Description,Sponsors1,Sponsors2,Sponsors3,PI/PDs1,PI/PDs2,PI/PDs3
School of Hospitality and Tourism Management,2021,Experience is the apple of tourist’ eyes: A vicarious viewpoint of authenticity,"This study applied big data techniques to collect and analyze a sizable data set of travel blog postings, aiming to identify the experiential components of tourists’ authentic experiences. While a sense of authenticity of tourists’ experiences in loc",Oklahoma State University, Hong Kong Polytechnic University,,Willie Tao, Li Miao,
School of Hospitality and Tourism Management,2021,Evaluating the Impact of Food Safety Messages on Customers' Perceptions and Attitudes Toward the Restaurants,"The purpose of this project is to investigate how customers' perceptions and attitudes toward a restaurant would change based on the type of online food safety messages that are provided to customers by the restaurant marketers. Moreover, the moderating ",Oklahoma State University,,,Willie Tao, Kiyan Shafieizadeh, Salman Alotaibi
School of Hospitality and Tourism Management,2021,Older Consumers’ Acceptance of Mobile Food Delivery Apps: Moderating Effects of Aging,"Interweaving the theory of consumer acceptance technology with the three pillars of aging, this study aims to investigate the influential app attributes that affect older adults’ acceptance of mobile food delivery apps. The current research consists of",Oklahoma State University, Auburn University," East Carolina University, University of South Carolina",Willie Tao,,
School of Hospitality and Tourism Management,2021,Navigating Social Media Firestorms in Hospitality: Investigating Brand Hate and Negative Consumer Behaviors,"Academic research concerning social media firestorms (SMFs) have only recently gained momentum in the marketing and consumer behavior literature. SMFs imply the sudden occurrence of many, predominantly negative social media expressions against a brand. Given the high velocity of these negative messages, SMFs are an important threat to a firm�s reputation and, ultimately, its performance and brand assets. The current 2x2 experimental study will be set in a simulated social media environment where a luxury hospitality brand is in the midst of a SMF, addressing the call for more research on the diffusion of negative messages on brand management.",Oklahoma State University,Auburn University,East Carolina University,Willie Tao,,
School of Hospitality and Tourism Management,2021,TOSIC: A Data-Driven Framework for Making Strategic Choices in the Industry Cycle,An industry cycle captures the recurrent fluctuation of the output of an industry. It consists of a set of phases that present different opportunities and threats to companies. A major challenge for companies is to determine what and when to make strateg,Oklahoma State University, Oakland University,,Yeasun Chung,,
School of Hospitality and Tourism Management,2021,"Institutional ownership, innovation, and firm value: Entry, exit, re-entry and investment horizon of institutional investors","Changes in corporate governance affect a company’s strategy, resource allocation, and financial performance. Amid a significant increase in the share of corporate equity held by institutions in the hospitality and tourism industry, existing studies sho",Oklahoma State University,,,Yeasun Chung,,
School of Hospitality and Tourism Management,2021,Managing diversity and inclusion: D & I maturity model,"A systematic approach to diversity and inclusion is an important strategic planning process that supports a company's D&I development and boosters innovation and financial outcomes. As part of this effort, this study aims to propose a D&I maturity model.",Oklahoma State University,,,Yeasun Chung, Jinyoung Im,
Department of Management and Legal Studies,2021,Bargaining your way to success: Machiavellian CEOs and their effects on organizational costs and performance,"This study examines the effects of CEO Machiavellianism on firm performance. While Machiavellianism has been usually construed as a purely negative trait, we argue that the pragmatic focus on the outcomes of exchanges and psychological obsession with win",Oklahoma State University, Pennsylvania State University,,Federico Aime,,
Department of Management and Legal Studies,2021,The joys and perils of working in plain view: Entrepreneurial engagement with organizational patrons and the emergence of an external layer of organizational control,"Drawing on interviews and observation from a multi-year field study, this article investigates the impact of enacting a permeable organizational boundary by engaging with patrons (e.g., customers, crowd funders). Findings describe how the organization’",Oklahoma State University, Pennsylvania State University,,Federico Aime,,
Department of Management and Legal Studies,2021,Control Theory and Employee Affective Adaptation to COVID-19,"We use control theory to outline the theoretical mechanisms of how people respond to an ongoing crisis using different aspects of the way that it unfolds over time and how this impacts anxiety, attitudes, and behaviors (i.e., task performance, engagement",Oklahoma State University,,,Lindsey Greco, Nikos Dimotakis," Sherry Fu, Anna Lennard"
Department of Management and Legal Studies,2021,Is (in)consistency Key? Understanding How Patterns of Abusive Supervision Influence Employee Anxiety and Engagement,"Abusive supervision has harmful, far-reaching effects on a broad range of employee outcomes. These effects can be particularly strong when an employee’s experience of abuse is unanticipated or persists outside of their realm of control. We posit that a",Oklahoma State University, Texas A&M," University of Arkansas, Mercer University, Townson University",Nikos Dimotakis,,
Department of Management and Legal Studies,2021,Gains and Losses: Week-to-Week Changes in Leader-Follower Relationships.,"Leader-Member Exchange (LMX) theory and research suggest that leader-follower relationships develop during the early stages of the dyad, mature relatively rapidly and then stabilize. We predict that leader-follower relationships, like other types of rela",Oklahoma State University, University of Ottawa," Southern Methodist University, Ohio State University, Georgia State University",Dimotakis, N.," Lambert, L. S., Fu, S."
Department of Management and Legal Studies,2021,Does The Use of Alternative Predictor Methods Reduce Subgroup Differences? It Depends On the Construct,"Many selection assessments yield race/ethnic-based subgroup differences (e.g., the ACT) and a popular way to address this is to change the method of measurement (the method-change approach). We conducted a meta-analysis of subgroup differences by constru",Oklahoma State University, Texas A&M University,,Bryan D. Edwards,,
Department of Management and Legal Studies,2021,Oh the Anxiety! How the Disruption of Leader Bottom Line Mentality Motivates Unethical Employee Behavior.,"Leader bottom line mentality (BLM) is often considered to be a static, unchanging tendency among supervisors/leaders. We challenge this view and show that changing leader demands can shift their attention to and away from the bottom line on a daily basis",Oklahoma State University, University of Georgia," University of New Mexico, Rutgers University, Drexel University",Bryan D. Edwards,,
Department of Management and Legal Studies,2021,"Inform, Offer, Connect: Using Portal Messaging and Embedded Asynchronous Care to Remotely Increase Physician-Assisted Smoking Cessation Quit Attempts",We randomly assigned 100 smokers to receive a message from their physician encouraging them to quit and the other 100 smokers received a system-generated message (digital outreach). We also randomly assigned smokers to receive asynchronous care from thei,Oklahoma State University,,,Bryan D. Edwards, Marjorie Erdmann, Tomi Adewumi
Department of Management and Legal Studies,2021,Recruiting (dis)advantage: Men and Women Differ in Their Evaluations of Gender-Based Targeted Recruitment,Organizations use targeted recruitment to attract applicants with specific characteristics or to diversify the workforce. Research reports mixed findings regarding the extent to which beneficiaries and non-beneficiaries are attracted to organizations. We,Oklahoma State University, Ball State University," Pennsylvania State University, Northeastern University",Alexis Nicole Smith, Bryan Edwards,
Department of Management and Legal Studies,2021,"Employee Entitlement, Engagement, and Performance: The Moderating Effect of Ethical Leadership.","Because of their skewed sense of deservingness, employees high in entitlement are less likely to experience workplace engagement. Furthermore, the negative relationship between employee entitlement and workplace engagement is stronger with supervisors lo",Oklahoma State University, Rutgers University," Clemson University,",Toby Joplin, Bryan D Edwards,
Department of Management and Legal Studies,2021,Houston Sport Organizations’ Disaster Relief Efforts Following Hurricane Harvey,"Sport organizations have often been active in community recovery following natural or man-made disasters. Following the September 11, 2001 terrorist attacks, members of the Yankees baseball team visited several sites throughout New York City. In New Orle",Oklahoma State University,,,Bryan Finch,,
Department of Management and Legal Studies,2021,Investigating Collegiate Athletics' Post-disaster Community Support,This study sought to examine historical examples of community recovery efforts undertaken by American collegiate athletic programs and to specifically review the responses of Oklahoma State University (OSU) athletics following a tragic community event in,Oklahoma State University,,,Bryan Finch,,
Department of Management and Legal Studies,2021,Virtual Teams Meta-Analysis,"Organizations are increasingly structuring work around teams; increases in technology use, means that most of these teams can be categorized as “virtual teams” that are comprised of geographically and/or organizationally dispersed coworkers that are ",Oklahoma State University, Drake University, Georgia Southern University Brigham Young University,Truit Gray, Lindsey Greco,
Department of Management and Legal Studies,2021,Moral Emotions Meta-Analysis,"Organizations are rife with situations likely to cause emotional responses in employees including personal relationships, work stressors, and environmental considerations. The importance of moral emotions has led to a range of studies exploring the impli",Oklahoma State University, Rutgers University, Indiana University,Truit Gray, Yingli Deng, Lindsey Greco
Department of Management and Legal Studies,2021,Dynamic Identification,"Theories of group identification explicitly consider identification with multiple targets, specifically outlining process related to transitions between identities or conditions under which one identity may be more salient than another. However, the over",Oklahoma State University,,,Lindsey Greco, Nikos Dimotakis," Sherry Fu, Anna Lennard"
Department of Management and Legal Studies,2021,Stress and Coping in the Fire Service,"Firefighters are frequently exposed to severe operational stressors, such as rendering aid to seriously injured victims, rescuing victims from dangerous situations, and death. Firefighters are also exposed to management-related stressors, such as work ov",Oklahoma State University, University of Albany, SUNY,Lindsey Greco, Dale Li,
Department of Management and Legal Studies,2021,Norm-Based Counterproductive Work Behavior,"Current conceptualizations of counterproductive work behavior position it largely as norm-violating behavior. That is, the assumption is that such behavior is always judged negatively by others in the organization. However, judging whether CWB is norm-vi",Oklahoma State University, Rutgers University, Indiana University,Lindsey Greco, Seth Smart,
Department of Management and Legal Studies,2021,Work-Effort & Guilt,"Employees may feel guilty after withholding effort on their jobs, yet explanations of when employees feel guilty and how this guilt motivates positive behaviors such as impression management and organizational citizenship behavior is lacking. Drawing on ",Oklahoma State University,,,Yingli Deng, Lindsey Greco, Sherry Fu
Department of Management and Legal Studies,2021,Instrumental CWB,"The dominant theoretical rationales used to explain counterproductive work behavior (CWB) position the behavior as a reaction to negative work events. Within these widely used frameworks CWB is preceded by aversive emotional states, with the primary goal",Oklahoma State University, Indiana University,,Seth Smart, Lindsey Greco,
Department of Management and Legal Studies,2021,Taxing Sports,"Sports are no longer mere games. In today’s money-driven culture, they have cultivated into a lucrative business enterprise where everyone – whether professional or amateur; owner or player; coach or spectator – stands to make significant money. Mo",Oklahoma State University, Clemson University,,John Holden,,
Department of Management and Legal Studies,2021,Taboo Transactions: Selling Athlete Biometric Data,"The collection of biometric data from elite-level athletes has become increasingly complicated, as sports leagues, teams, and other governing organizations have begun to see potential commercial value beyond increased performance in this data. This artic",Oklahoma State University, University of North Texas,,John Holden,,
Department of Management and Legal Studies,2021,Fraud on Any Market,"We first argue that fraud-on-the-market would benefit most types of investable markets like sports gambling as well as supporting the doctrine in the securities context. Despite criticisms of the doctrine, our analysis shows that fraud creates the presum",Oklahoma State University, University of Georgia, University of Texas,John Holden,,
Department of Management and Legal Studies,2021,Monopolizing Sports Data,"U.S. professional sports leagues’ recent attempts to collectivize the sale of sports game data and prevent non-league affiliated entities from competing in the markets to collect, aggregate, and resell game data gives rise to both legal and policy conc",Oklahoma State University, Baruch College,,John Holden,,
Department of Management and Legal Studies,2021,Reshaping College Athlete Sports Betting Education,"The time has come for the NCAA, collegiate athletic conferences, and colleges and universities to take the steps necessary to coexist with widespread legal betting markets. This Article provides the necessary framework for collegiate sports organizations",Oklahoma State University, University of Nevada Las Vegas,,John Holden,,
Department of Management and Legal Studies,2021,Breaking The Glass Monitor: Examining the Underrepresentation of Women in Esports Environments,"While the growth of esports is undeniable, access, inclusivity, and diversity within this space is reminiscent of U.S. pre-Title IX traditional sport environments. As such, recent calls for the inclusion of esports within the traditional sport management",Oklahoma State University, University of Georgia," University of South Florida, State University of New York – Cortland",John Holden,,
Department of Management and Legal Studies,2021,U.S. Fantasy Sports Law: Fifteen Years after UIGEA,This Article explains how the U.S. regulates fantasy sports today—fifteen years after the passing of the Unlawful Internet Gambling Enforcement Act. This discusses the change in regulatory governance of fantasy sports in the U.S. that has overlapped wi,Oklahoma State University, Baruch College, John Jay College,John Holden,,
Department of Management and Legal Studies,2021,Regulating Vice: From Marijuana to Sports Gambling,"In spite of the growing state-level legality of both marijuana and sports gambling, the exuberance for sports gambling by entities like banks and institutional investors has surpassed the marijuana industry despite the marijuana industry having a signifi",Oklahoma State University, Baruch College, John Jay College,John Holden,,
Department of Management and Legal Studies,2021,"Exploring College Sports in the Time of COVID-19: A Legal, Medical, and Ethical Analysis","This Article explores the implications of resuming intercollegiate sports in the midst of a pandemic from a legal, medical and ethical perspective. Adopting a true interdisciplinary approach to the question of how and when to return to sport, the authors",Oklahoma State University, Baruch College," University of Georgia, University of Michigan",John Holden,,
Department of Management and Legal Studies,2021,Global Sports Leagues and China’s Free Speech Problem,"This article looks at the legal and ethical challenges posed for U.S. professional sports leagues that seek to do business with China based on fundamental differences in free speech norms between the United States and China. In particular, this article e",Oklahoma State University, Baruch College, University of Georgia,John Holden,,
Department of Management and Legal Studies,2021,The Agency of Female Small Business Owners & Their Responses to Pandemic Issues,"This past year has been fraught with major challenges to the survival of small businesses in the USA.  We posit that current agency measures will reflect differences in responses to these challenges, and thus the subsequent success in mitigating the effe",Oklahoma State University,,,Chalmer Labig, Juliet Abdel,
Department of Management and Legal Studies,2021,The Tulsa Police Department’s Response to its Diminished Reputation due to the Black Lives Matter Movement,A change in leadership of a police department may have major effects on public perception of the department. We are investigating one mid-sized department’s various efforts to raise their reputation.  Of the many strategies employed which have seemed t,Oklahoma State University,,,Chalmer Labig,,
Department of Management and Legal Studies,2021,An Overlooked Aspect of Measurement: Does the Content of Verbal Anchors Matter?,"Discussions of content validity have focused on item generation, and have seemingly overlooked the response formats (e.g. strongly disagree, strongly agree) that accompany the items. We reason that there may be constructs measured with inappropriate resp",Oklahoma State University,,,Lambert, L.S.," Gray, T., Davis, A., Erdman, M., and McDermott, R."
Department of Management and Legal Studies,2021,Heuristics and Comparison Standards: Developing Hypotheses Via Thought Experiments,"The task of hypothesis development is widely acknowledged to require imaginative and disciplined thinking, unfortunately, the practice defies efforts to distill it into a replicable process or even into a set of best practices. We develop strategies to s",Oklahoma State University,,,Lambert, L.S.," and Gray, T."
Department of Management and Legal Studies,2021,"Construct Development and Validation in Three Practical Steps: Recommendations for Authors, Reviewers and Editors","We review contemporary best practice for developing and validating measures of constructs. The three basic steps in scale development are: 1) construct definition, 2) choosing operationalizations that match the construct definition, and 3) obtaining empi",Oklahoma State University, University of Illinois,,Lambert, L. S.,
Department of Management and Legal Studies,2021,Development of a New Measure of Corporate Reputation,Understanding and measuring the reputations of corporations is key to answering important questions. We employ up-to-date scale development practices to the construct of corporate reputation.,Oklahoma State University, University of Texas Arlington," University of Texas A & M, Texas Christian University",Lambert, L.S.,
Department of Management and Legal Studies,2021,Supervisors’ Trust in their Subordinates: A Quantitative and Qualitative Exploration of Trust and Trustworthiness,"Subordinates assess the trustworthiness of their supervisors based on their ability, benevolence and integrity. Supervisors’ assessments of trustworthiness have been presumed to rely on these same dimensions, but the inherently asymmetrical relationshi",Oklahoma State University, Caucasus University," Towson State University, Xavier University, Abraham Baldwin College",Lambert, L. S.,
Department of Management and Legal Studies,2021,Too Much of a Good Thing: Prosocial Fit Predicting Job Satisfaction and Pride,We examined the implicit assumption that increasing prosocial values and impact will have increasing benefits for organizations and employees by considering that employees likely vary in the strength of their prosocial values and that their jobs offer va,Oklahoma State University,,,L. S. Lambert, Anna Zabinski," Abbey Davis, Cassidy Creech, Nick Hayden"
Department of Management and Legal Studies,2021,Emotion Regulation and Work family conflict,We expand emotional labor beyond the work domain to demonstrate how experiences at home can help employees recover from the emotional requirements of their job. By creating a much-needed connection between theorizing on emotional labor and appraisal theo,Oklahoma State University, Michigan State, University of Nebraska,Anna Lennard,,
Department of Management and Legal Studies,2021,Abusive Supervision and Performance Cycles,"Abusive supervision harms individuals and costs companies billions of dollars annually (e.g., legal fees; Tepper et al., 2006, 2017). Consequently, an understanding of abusive supervision’s antecedents is critical. Herein, we demonstrated that differen",Oklahoma State University, Michigan State, University of Georgia,Anna Lennard, Nikos Dimotakis,
Department of Management and Legal Studies,2021,Escalation of Commitment,"Escalation drivers affect projects at different stages, but time and different organizational levels of influence are often not considered in the escalation of commitment literature, and there is little theory to organize and delineate these various driv",Oklahoma State University, Michigan State,,Anna Lennard,,
Department of Management and Legal Studies,2021,A Return to Reasonableness: State Regulation of Noncompetition Agreements,"States regulate restrictions on employee mobility because noncompetition agreements affect the job market and business environment. In recent years, many states targeted noncompetition agreements for further regulation. The rapid adoption of noncompetiti",Oklahoma State University,,,Griffin Pivateau,,
Department of Management and Legal Studies,2021,Making Arbitration Work: A Better Means of Dispute Resolution,"During the last decade, the Supreme Court has made it clear that it favors arbitration as a means of dispute resolution. Arbitration clauses have become standard in employment agreements. Nevertheless, opponents of mandatory arbitration allege that such ",Oklahoma State University,,,Griffin Pivateau,,
Department of Management and Legal Studies,2021,Shields and Swords: Structural Reforms to End Workplace Harassment,The explosion of sexual harassment claims spurred by the #MeToo movement exposed the widespread nature of workplace harassment and abuse. The movement further revealed the decades-long ethical and legal failure by organizations to stop harassment. Respon,Oklahoma State University,,,Griffin Pivateau,,
Department of Management and Legal Studies,2021,"An Integrative Model of the Role of Structural, Behavioral, and Cognitive Coordination in Intergroup Effectiveness: How Middle Managers Play a Role","A major challenge for organizations is coordinating interdependent teams’ effective performance of joint tasks, but an integrative theoretical understanding of how to coordinate such intergroup effectiveness is missing. Consolidating three separate lit",Oklahoma State University, Drexel University,,Jeanine Porck,,
Department of Management and Legal Studies,2021,Preventing Silo’s from Going Solo: the Role of Conflict Management Style and Team Learning Behavior in Inter-team Coordination & Knowledge Exchange.,A challenge many organizations face pursuing strategies that require cross-team coordination and knowledge exchange is eradicating silo thinking. This study explores the role of conflict management style and team learning with longitudinal data collected,Oklahoma State University, Drexel University,,Jeanine Porck,,
Department of Management and Legal Studies,2021,Strategic Decision Making in Multi-team Systems.,"Judgment and decision-making research has a long tradition in management. Despite numerous reviews of this topic in the organizational behavior, and psychology, there is little investigation of decision making in multi-team systems. This is surprising, g",Oklahoma State University,,,Jeanine Porck,,
Department of Management and Legal Studies,2021,"Middle Managers, Coopetition and Intraorganizational Knowledge Transfer","Intraorganizational knowledge transfer is difficult yet critical for numerous organizational outcomes. The knowledge-sharing behavior of middle managers, those often tasked with managing this knowledge transfer, should, however, not be taken for granted.",Oklahoma State University,,,Jeanine Porck, Juan Du,
Department of Management and Legal Studies,2021,An Identity Perspective on Middle Managers’ Role Conflict and their Strategic Role Performance,What drives middle managers to champion new strategic initiatives to top management and simultaneously encourage their followers to implement the organization’s current strategy? These divergent and integrative strategic roles of middle managers are cr,Oklahoma State University,,,Jeanine Porck, Juan Du,
Department of Management and Legal Studies,2021,When Middle Manager’s Performance Appraisals Are Clouded: the Role of Leadership (Mis)Fit and Depletion,Middle managers’ appraisals of employee performance are critical. Two contingencies may influence performance appraisals: the (mis)fit between how much employees need and receive task focused leadership behavior (initiating structure) from their manage,Oklahoma State University,,,Lisa Lambert, Jeanine Porck, Juan Du
Department of Management and Legal Studies,2021,Endorsement Ambiguity: When Do Employees Re-voice?,"Voice, or speaking up with work related ideas and concerns, is important. By speaking up, employees offer unique and relevant insights, ultimately influencing work group and organizational functioning. Although much work has focused on affirmative respon",Oklahoma State University, Iowa State University,,Jeanine Porck,,
Department of Management and Legal Studies,2021,Minority Perspective-Taking: When Authenticity Climate Promotes Minority Involvement in White-Dominated Spaces,Underrepresented minorities often have negative workplace experiences that influence their intentions to stay within their white-dominated organizations. We posit that perspective-taking—imagining the world from another’s perspective—is a strategic,Oklahoma State University, Northwestern University," London School of Economics, Slippery Rock University, Columbia University",Alexis Smith Washington, Bryan Edwards,
Department of Management and Legal Studies,2021,The Implication of Power Dynamics in Dual-Earner Couples: A Study of Household Labor,"Our research studies the household labor of dual-earner couples—married or cohabiting couples where both partners are employed. Integrating power theories and gender-role perspectives, we examine how power dynamics within dual-earner couples influence ",Oklahoma State University,,,Alexis Smith Washington, Elise Yu, Nikos Dimotakis
Department of Management and Legal Studies,2021,Making Sense of Perceived Sameness and Difference: An intersectional Perspective of Executives Interpersonal Interactions at Work,"As organizations strive to promote gender and racial equality at work, more research and theorizing is needed that acknowledges a minority point of view. Drawing from interviews with 53 Black female executives holding senior leadership roles in U.S. firm",Oklahoma State University, Northeastern University,,Alexis Smith Washington,,
School of Marketing and International Business,2020,Are Lonely Consumers Loyal Consumers? Two-dimensional Lonely Consumer’s Brand Relationships,"Although loneliness has been shown to influence consumer behaviors, prior research conceptualized loneliness unidimensionally as a feeling of inadequate relationships. However, relationships can be inadequate in terms of quality and quantity, creating a ",Oklahoma State University,,,Zachary Arens, Eunyoung Jang,
School of Marketing and International Business,2020,Disentangling Product Comparisons with the Attribute-Hedonic Model,"Marketing policies assume that consumers comparing products will show a hedonic contrast effect, when a product seems more appealing being compared with an unappealing competitor. However, hedonic judgments are confounded with underlying attribute judgme",Oklahoma State University,,,Zachary Arens,,
School of Marketing and International Business,2020,Entrepreneurial Orientation (EO) and Firm Innovation Performance,"Using a dynamic capabilities perspective as our theoretical foundation, this study contributes by highlighting the underlying mechanism through which EO affects firm performance based on the subsequent theoretical linkages: 1)strategic resources, 2)strat",Oklahoma State University, Chinese Culture University, Taiwan,Todd Arnold,,
School of Marketing and International Business,2020,"Alliance Orientation, Competitive Advantage in NPD, and New Product Success","Strategic orientation is a key determinant of new product development (NPD) performance, yet, little is known about the real value of alliance orientation (AO) in the context of NPD, as well as how it contributes to new product success. This study advanc",Oklahoma State University, Chinese Culture University, Taiwan,Todd Arnold,,
School of Marketing and International Business,2020,Enhancing Perceived Product Value through Peripheral Product Attributes,"We examine how firms could design their products’ packaging both to help customers socialize more successfully, as well as profit. We investigate how a peripheral product anecdote, or a brief, interesting story that is loosely connected to the product,",Oklahoma State University,  SUNY Albany,,Todd Arnold, Josh Wiener,
School of Marketing and International Business,2020,The Costs (and Opportunities) of Highly Involved Organizational Buyers,"The authors examine the impact of organizational buyers’ product involvement on customers’ and suppliers’ financial outcomes, driven by buyers’ increased willingness to pay and their perceived credibility in negotiations with the supplier. The ef",Oklahoma State University, University of Missouri,,Todd Arnold, Justin Lawrence, Colleen McClure
School of Marketing and International Business,2020,End User Engagement with Supplier Firm Brands: Meaningfulness of Work and Differential Impact of Other-Focused versus Self-Focused Marketing Initiatives,"Findings suggest a key management concept, meaningfulness of work, can be applied to brand attachment in a work context. More specifically, results illustrate how end users find meaning on their job and develop strong feelings for supplier firm brands. T",Oklahoma State University, Georgia Gwinnett College,,Todd Arnold,,
School of Marketing and International Business,2020,Optimizing Frontline Shift Composition for Increased Customer Satisfaction and Firm Performance,Both academics and marketing managers agree that frontline employees (FLEs) are paramount for the provision of excellent service to customers. What is less well understood in extant research is the impact other employees may have upon a given individual ,Oklahoma State University, Georgia Gwinnett College, Grand Valley State University,Todd Arnold,,
School of Marketing and International Business,2020,The Positive Influence of Watching Others Receive Preferential Treatment: The Role of Envy,The purpose of this research is to examine how and when companies can motivate non prioritized consumers to respond positively to customer prioritization and mitigate their negative reactions. We conducted two studies to test whether non-prioritized cust,Oklahoma State University, Texas A&M University-Corpus Christi,,Tom Brown,,
School of Marketing and International Business,2020,The Drivers of Salespersons’ Customer Insight-Generating Behavior and Its Impact on Sales Performance Outcomes in a Relationship Selling Context,Salespeople have long been told to uncover information about their prospective customers and their needs. This project examines the degree to which (and process through which) uncovering customer insights influences sales performance.,Oklahoma State University,  Weber State University, University of Tennessee-Knoxville,Tom Brown, Karen E. Flaherty,
School of Marketing and International Business,2020,CO2 Storage Site Screening Platform Development and CO2 Storage Resource Analysis in SECARB Offshore Reservoirs Using SAS® Viya,"In this study, the SAS® Viya platform was utilized to manage the geological datasets and analyze the geological characteristics of the shelf and deep-water areas through the use of correlation plots and distribution maps. In addition, a CO2 storage site",Oklahoma State University, (external funding from SECARB),,Goutam Chakraborty, Xitong Hu," Prem Bikkina, Jack C. Pashin"
School of Marketing and International Business,2020,Developing and Creating a User-Friendly Dynamic Dashboard of Catalogue using Tableau for Love’s Travel Stop and Stores,"In this funded research project, we developed and created a user-friendly dashboard catalogue for Love’s Travel Stop and Stores using Tableau. The project involved first understanding which elements the mangers want to see in the dashboard. This was ac",Oklahoma State University (External funding from Love’s Travel Stores and Stops),,,Goutam Chakraborty, Melissa Reed,
School of Marketing and International Business,2020,Developing and Fine-Tuning a Machine Learning Model to Track a Custom Object which is Initialized only once in a Video,"In this research project, we developed and tuned a machine-learning model using Python to track an object that appears only once in a video, and to be able to handle occlusion. First, a thorough review of all existing algorithm packages that handle such ",Oklahoma State University, (External funding from Concat Systems),,Goutam Chakraborty, Nikhil Gunti,
School of Marketing and International Business,2020,Developing and Validating a Customer Lifetime Value Model for Love’s Travel Stop and Stores,"In this funded research project, we developed and validated a customer Lifetime Value (CLV) model for Love’s Travel Stop and Stores using Tableau. Done through building and validating two specific models for the drivers. Forecasting the number of trans",Oklahoma State University, (External funding from Love’s Travel Stores and Stops),,Goutam Chakraborty, Harshit Agarwal,
School of Marketing and International Business,2020,Developing and Creating a User-Friendly Dynamic Dashboard of Campaign Analytics using Snowflake and Tableau for Heartland Payment Systems,"In this funded research project, we developed and created a user-friendly dashboard for Heartland Payment Systems using Snowflakes and Tableau. The project involved first understanding which elements of campaign analytics the mangers want to see in the d",Oklahoma State University, (External funding from Heartland Payment Systems),,Goutam Chakraborty, Katelyn Byrne,
School of Marketing and International Business,2020,The Influence of Donation Resource Abundance on Choice of The Abstract Donation Target,This paper aims to investigate how to improve the donation choice toward abstract targets by matching donation resource abundance (abundant vs. limited) and message construal level (high vs. low) within donation appeals. Four studies were conducted to ex,Oklahoma State University, Sun Yat Sen University,,Xiang Fang, Pramit Banerjee,
School of Marketing and International Business,2020,The Effect of Power Distance Beliefs on Vertical vs. Horizontal Display,This research is to investigate how individuals’’ power distance beliefs influence their evaluations of the products displayed vertically or horizontally. We expect individuals’ with high power distance beliefs are more likely to prefer the product,Oklahoma State University,,,Xiang Fang, Pramit Banerjee,
School of Marketing and International Business,2020,Vicarious Authenticity in Tourism: Experientialism Approach and Focus Group Interviews,"Authenticity is a core theme in the hospitality and tourism industry as it brings “a sense of the genuine, the real or the unique” to visitors at a destination via traditional culture and origins of a locality (Sharpley, 1994, p. 130). Three types of",Oklahoma State University, Hong Kong Polytechnic University,,Xiang Fang, Li Miao,
School of Marketing and International Business,2020,Touch or Click? The effect of direct and indirect human-computer interaction on consumer responses,"Human-computer interaction is the way consumers access product, service and information, which affects consumers’ attitude, evaluation and purchase behavior. This paper examines how human-computer interaction affect consumer attitude and purchase inten",Oklahoma State University, Sun Yat Sen University,,Xiang Fang,,
School of Marketing and International Business,2020,Examining the Effect of a Firm’s Product Recall on Financial Values of Its Competitors,"Scholars examine the effect of product recall on the recall firms from two different perspectives. One is from a consumer’s perspective, and the other is from a financial perspective. We chose the second perspective and tested how different product rec",Oklahoma State University, Towson University, Shanghai Univ. of Finance and Economics,Xiang Fang,,
School of Marketing and International Business,2020,A Cross-Cultural Exploration of How Employees’ Intervention Discourages the Subsequent Misbehavior of Other Customers,"The spreading of Dysfunctional Customer Behavior (DCB) is particularly problematic and costly for organizations. Drawing on social learning theory (Bandura, 1978), we expect that responding to DCB with certain interventions helps other customers learn th",Oklahoma State University,,,Xiang Fang, Sandy Huang, Ruping Liu
School of Marketing and International Business,2020,Managers as Engineers of Market Knowledge Network:  Typology and a Conceptual Framework,"Adopting a grounded theory approach, we offer a typology of manager’s network engineering that is based on three key variables, including managers’ market orientation, their network approach (proactive or reactive), and their servant leadership appro",Oklahoma State University, Baylor University," University of Georgia
PI/PDs",Karen Flaherty,,
School of Marketing and International Business,2020,Making a Positive (or Negative) First Impression with Small Talk,"We examine the effect of small talk and relationship orientation on customer intentions to use a service provider in three experiments and one cross-sectional survey. Customers respond positively to small talk when communally oriented, but negatively whe",Oklahoma State University, University at Albany,,Karen Flaherty, Joshua Wiener,
School of Marketing and International Business,2020,Alliance Value Creation and Appropriation: The Role of Customer- and Product-Centric Structures,"Establishing a customer-centric structure is a popular but costly marketing strategy; some firms thus seek alliances with customer-centric partners, with mixed results. In this article, according to event study analyses (Study 1) of strategic alliances b",Oklahoma State University, Iowa State University, University of Washington,Justin M. Lawrence,,
School of Marketing and International Business,2020,Mitigating Price Discount Spillover in Online and Offline Markets,"In accordance with today’s multichannel B2B environments, the authors theorize differential effects on the seller’s margin via offline and online discount contagion. The authors test their theoretical framework across two large-scale field studies fe",Oklahoma State University, Iowa State University," University of Washington, Colorado State University",Justin M. Lawrence,,
School of Marketing and International Business,2020,Sales Channel Specialization for B2B Resellers: Cost-matching versus Relationship-driven Models,"In an effort to cost-effectively match sales channels to the shifting needs of customers and reap the benefits of sales specialization, business-to-business sellers are challenged with migrating customers between outside (field) salespeople and inside (r",Oklahoma State University, Iowa State University, University of Washington,Justin M. Lawrence,,
